gene_ID	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245
DBF2	33.248	51.995	33.377	28.925	22.213	14.602	10.023	10.388	9.455	10.306	17.153	30.942	45.32	53.826	54.96	48.838	46.816	37.584	31.162	28.577	23.9	20.841	18.285	20.601	23.805	28.612	32.516	41.875	40.651	36.94	37.564	36.003	34.146	31.762	27.058	25.921	22.405	25.988	26.936	30.301	33.542	30.579	33.661	31.805	33.033	29.101	31.273	28.999	27.245	25.424
SPO12	191.464	162.293	119.17	50.856	33.688	27.436	19.76	15.899	22.758	33.599	60.881	97.233	161.187	182.652	200.692	149.244	162.099	129.509	103.821	88.778	80.968	61.16	55.065	61.969	89.246	110.548	122.997	162.87	132.697	159.697	142.991	132.368	114.814	102.614	103.265	98.185	108.052	87.506	102.72	101.1	118.781	122.985	132.769	126.767	113.158	104.295	106.643	92.8	83.009	88.874
WTM2	10.922	9.464	9.953	9.699	7.874	5.782	4.98	5.981	6.096	9.692	10.407	13.533	14.373	16.021	17.065	16.719	14.103	11.708	9.738	8.67	7.547	7.367	8.168	8.259	10.399	10.706	10.07	12.846	12.582	12.747	13.176	13.456	10.739	10.543	10.453	10.976	8.059	8.52	9.819	10.897	11.501	12.253	12.751	12.406	11.605	11.916	11.793	9.673	9.166	9.854
YMR253C	29.85	41.06	43.569	44.21	32.145	18.852	11.895	10.306	16.074	18.341	22.625	31.166	37.855	46.499	50.746	47.825	46.207	43.971	36.023	34.057	29.65	26.002	25.276	27.84	29.412	35.508	35.222	42.903	42.822	35.892	41.526	37.221	36.035	37.294	34.002	27.904	22.205	33.329	29.658	33.728	36.626	40.728	38.219	37.313	38.324	38.456	33.799	36.416	36.179	35.577
MSA1	19.225	24.816	19.321	36.929	36.017	24.401	15.624	9.885	8.084	5.453	6.341	8.922	13.4	24.795	39.408	39.983	40.254	35.691	30.158	28.249	22.774	18.779	16.532	12.004	13.398	14.963	21.659	26.056	24.858	21.581	24.563	22.484	24.234	22.504	20.648	16.157	12.723	17.058	13.354	15.979	17.605	20.468	19.505	17.508	24.585	22.367	22.231	21.151	20.265	20.595
NBA1	15.808	17.796	16.324	19.198	15.435	15.775	15.259	18.099	22.713	34.145	48.813	62.085	71.318	72.459	73.433	79.692	61.34	52.285	40.973	33.948	30.316	27.375	32.572	34.364	42.256	49.507	53.108	57.755	59.914	47.161	53.459	50.826	45.93	42.343	40.531	34.948	33.99	40.843	41.555	44.814	47.645	50.068	46.67	49.458	49.263	45.621	45.539	43.722	39.838	39.405
YGP1	49.439	121.248	118.637	148.548	180.605	124.667	76.218	45.605	36.377	32.88	66.778	264.814	696.989	1082.67	1105.64	1159.54	687.432	488.299	411.7	307.249	203.337	167.833	136.787	170.931	293.391	481.639	586.144	848.259	765.545	649.596	657.024	578.644	463.048	464.116	372.132	304.436	262.842	371.555	402.651	471.985	559.501	595.239	604.233	579.066	610.546	564.203	559.237	448.674	487.185	434.747
BNS1	47.764	49.878	46.015	40.524	38.871	40.7	43.304	41.196	43.533	47.065	53.141	62.805	91.657	116.06	116.33	81.313	86.284	66.116	42.658	40.968	43.988	28.554	33.585	42.429	51.646	59.516	65.536	87.769	91.393	111.512	85.005	82.12	72.466	77.311	62.046	64.505	65.739	60.657	81.588	92.867	86.266	100.365	95.074	93.69	89.504	84.934	71.842	71.751	71.314	69.13
MYO3	14.516	12.918	11.739	9.74	8.224	5.835	4.303	4.403	5.294	7.184	9.521	10.67	12.517	14.011	15.086	11.299	11.384	9.871	8.718	7.842	7.559	7.063	7.676	8.59	10.362	10.644	12.262	12.066	10.963	8.928	10.026	9.545	9.083	9.048	8.281	8.112	6.989	9.291	8.413	9.696	9.392	9.578	9.562	8.808	10.764	9.741	9.176	10.073	9.552	10.432
ASH1	72.067	38.77	29.764	56.849	48.181	24.782	19.295	14.409	13.588	11.304	9.058	11.547	21.654	76.787	158.08	184.762	161.41	139.04	112.405	81.394	67.191	53.431	38.259	29.445	25.931	38.102	57.268	82.634	94.945	94.956	97.449	91.752	84.238	78.423	71.715	61.046	55.032	53.909	53.044	60.373	69.406	78.257	79.765	78.441	94.618	91.988	88.05	85.371	79.179	79.766
TDA6	13.162	12.103	13.683	11.359	10.923	10.129	8.959	7.356	7.106	8.068	11.876	19.198	23.75	23.757	26.468	18.126	14.731	11.558	8.375	7.936	7.663	5.828	5.758	9.013	12.24	14.943	14	14.476	13.767	14.554	14.545	12.784	12.505	9.216	9.265	10.336	10.055	9.986	11.367	11.297	11.934	12.707	12.283	11.809	11.181	9.945	10.37	9.878	9.026	9.017
YRO2	34.273	82.094	28.931	14.221	17.572	19.988	21.04	17.204	15.439	11.481	11.05	26.698	79.791	149.802	162.238	175.773	122.288	91.963	71.381	56.275	40.987	33.732	26.28	27.883	33.079	47.187	66.48	77.794	87.213	73.13	78.805	68.61	64.433	53.537	45.536	40.702	33.123	35.896	35.679	47.626	50.316	52.805	53.928	53.937	50.68	49.597	46.973	40.519	43.584	37.125
TEM1	32.637	46.078	36.317	39.828	34.439	35.061	40.785	49.881	45.392	59.58	61.348	64.86	67.533	68.363	69.156	63.272	48.682	42.706	46.571	44.151	35.882	43.283	42.898	46.744	53.569	65.338	57.238	61.442	53.434	54.069	50.104	47.792	43.796	40.782	47.237	41.942	45.697	48.92	51.374	53.331	56.572	49.521	47.374	49.564	48.331	43.234	45.306	49.161	39.475	45.728
PST1	80.529	183.463	77.047	42.411	28.589	19.162	17.203	14.79	12.988	12.806	9.885	11.213	14.482	74.154	277.512	478.78	441.096	393.232	351.007	257.579	196.169	150.879	110.975	81.164	64.183	72.72	122.252	231.551	308.35	301.14	351.451	342.294	320.864	307.833	265.902	238.393	180.218	177.585	153.646	197.763	221.987	266.825	280.417	285.275	302.193	320.832	323.357	299.767	282.274	254.861
SED1	4958.93	6655.29	7117.07	6526.27	5783.67	3782.73	2792.88	2129.58	2234.06	2789.65	4167.77	5593.12	6672.11	7598.35	8225.15	6472.78	6196.7	5921.51	4996.7	5123.75	4098.12	4237.48	4662.56	5420.53	5222.33	6254.14	6338.08	7110.68	6153.38	4278.86	5040.36	4829.98	4886.76	4574.34	3911.43	3449.64	2700.43	4502.31	3921.77	5249.18	4844.31	5286.02	4928.6	5072.42	5642.99	6299.05	6351.55	5377.75	5276.59	5324.57
PIR1	107.331	142.577	132.773	100.996	68.798	40.502	29.174	20.14	15.668	14.594	14.414	16.002	38.77	322.221	1136.55	1987.79	2136.55	1933.45	1620.15	1275.92	930.767	725.617	532.038	340.606	267.345	280.953	447.786	894.884	1049.64	1039.4	1339.59	1229.49	1216.76	1168.26	1017.15	778.722	502.688	651.819	539.201	647.188	736.347	909.885	904.025	890.316	1076.68	1113.11	1147.3	1036.27	993.673	958.953
YLR297W	12.129	7.091	14.726	16.846	10.238	12.897	8.687	12.061	7.192	6.228	7.303	17.463	25.744	24.998	26.95	23.387	17.469	15.499	7.198	6.583	10.326	6.406	8.761	13.443	9.888	13.323	16.574	16.131	17.102	21.779	19.262	19.636	18.572	16.444	13.87	12.529	16.16	11.963	17.311	17.093	19.472	19.196	19.749	18.487	17.995	20.199	15.531	13.118	16.324	18.585
MCM7	18.017	29.981	33.087	68.33	68.744	46.07	26.4	17.487	13.657	15.881	26.668	43.972	57.934	70.745	73.127	76.676	72.019	61.85	52.483	44.827	39.192	31.04	28.008	28.653	32.263	36.039	46.58	47.952	51.17	41.687	50.959	45.54	47.307	41.672	39.498	28.85	24.83	34.293	31.73	35.571	39.381	39.947	41.397	40.072	46.368	42.135	40.126	42.168	39.776	40.409
PRR1	38.471	44.587	31.77	32.877	45.535	46.739	42.077	35.838	33.963	32.472	34.037	30.392	32.084	37.311	57.398	73.644	77.414	71.832	65.774	54.356	52.952	46.053	46.629	37.705	35.279	36.524	43.636	45.748	50.923	48.685	51.829	50.369	53.301	46.669	44.216	41.155	34.264	37.411	39.568	40.104	41.759	42.4	43.75	46.91	49.158	48.825	54.347	50.712	48.846	50.616
FUN26	57.16	62.52	69.024	81.48	87.399	86.692	72.679	58.819	55.148	59.244	64.321	83.978	104.253	107.465	118.972	89.69	96.45	90.671	75.324	73.979	67.281	59.774	61.73	69.001	69.302	84.236	66.252	79.866	98.299	90.385	90.148	89.621	80.625	76.347	73.17	75.918	72.62	74.405	75.598	82.892	85.056	92.866	87.522	84.091	87.726	97.851	97.857	83.37	87.654	87.688
YPL162C	37.286	50.973	43.416	40.108	38.367	30.538	32.386	35.792	38.148	43.462	48.927	53.458	52.227	54.936	56.31	51.758	49.695	42.965	36.487	36.087	33.28	37.945	40.038	38.242	39.664	41.47	44.902	46.248	46.395	26.811	42.293	41.334	41.825	43.897	32.041	27.938	21.488	39.471	30.506	41.466	40.72	39.5	45.313	43.282	45.652	45.933	43.763	42.538	43.126	40.506
SIW14	57.821	47.803	47.707	46.133	51.158	43.246	35.21	35.669	40.443	50.89	54.554	55.339	63.335	67.377	70.771	83.105	69.594	70.76	66.924	60.202	52.862	54.74	51.501	51.296	57.258	52.859	60.551	64.901	70.77	76.867	72.002	76.626	69.4	62.607	62.478	69.235	73.361	58.097	60.524	59.758	67.053	67.578	66.977	70.022	65.739	65.692	65.177	58.188	56.813	59.527
TIP1	877.818	1024.79	1088.58	990.234	1016.04	789.424	586.153	401.562	302.794	224.667	217.054	292.145	578.357	969.66	1661.23	1921.13	1812.09	1776.75	1637.61	1567.23	1256.14	1111.41	859.639	693.294	654.17	725.875	615.562	899.024	911.679	1057.43	1069.75	1012.99	935.963	876.812	772.357	768.215	627.126	592.652	586.373	631.209	657.38	721.573	624.687	617.579	618.941	603.226	569.585	474.119	424.013	374.915
AIM44	2.742	3.335	3.622	3.617	4.184	4.492	4.369	4.149	4.229	3.903	4.243	3.583	5.093	23.851	58	81.413	68.308	53.114	44.438	32.661	24.781	18.417	13.78	9.95	8.953	10.417	19.378	30.68	39.478	33.844	41.82	36.965	35.665	32.286	27.738	23.841	20.854	19.4	16.805	20.707	23.938	26.621	31.523	30.18	32.325	30.344	27.471	28.072	25.098	22.012
RER2	52.082	56.554	44.306	48.866	45.319	47.144	50.327	62.273	57.103	53.676	57.403	57.67	57.141	60.5	63.863	73.978	70.487	54.547	57.806	56.78	53.266	53.002	52.549	55.313	55.014	58.914	57.866	61.779	60.846	58.517	61.899	61.97	54.06	55.703	54.564	48.293	53.218	55.499	55.739	57.322	56.254	58.318	57.021	57.635	56.257	52.218	57.352	54.716	46.506	47.493
