input	reason	matches	symbol	organism.shortName	name	length	secondaryIdentifier	primaryIdentifier	class
FAR8	MATCH	1	FAR8	S. cerevisiae	Factor ARrest	1572	YMR029C	S000004631	ORF
LIP5	MATCH	1	LIP5	S. cerevisiae	LIPoic acid	1245	YOR196C	S000005722	ORF
ATF2	MATCH	1	ATF2	S. cerevisiae	AcetylTransFerase	1608	YGR177C	S000003409	ORF
TUP1	MATCH	1	TUP1	S. cerevisiae	dTMP-UPtake	2142	YCR084C	S000000680	ORF
SRM1	MATCH	1	SRM1	S. cerevisiae	Suppressor of Receptor Mutations	1449	YGL097W	S000003065	ORF
RSR1	MATCH	1	RSR1	S. cerevisiae	RaS-Related	819	YGR152C	S000003384	ORF
LCD1	MATCH	1	LCD1	S. cerevisiae	Lethal, Checkpoint-defective, DNA damage sensitive	2244	YDR499W	S000002907	ORF
YEA6	MATCH	1	YEA6	S. cerevisiae		1008	YEL006W	S000000732	ORF
SET1	MATCH	1	SET1	S. cerevisiae	SET domain-containing	3243	YHR119W	S000001161	ORF
ISM1	MATCH	1	ISM1	S. cerevisiae	Isoleucyl tRNA Synthetase of Mitochondria	3009	YPL040C	S000005961	ORF
EKI1	MATCH	1	EKI1	S. cerevisiae	Ethanolamine KInase	1605	YDR147W	S000002554	ORF
MSA1	MATCH	1	MSA1	S. cerevisiae	Mbf and Sbf Associated	1890	YOR066W	S000005592	ORF
MSA2	MATCH	1	MSA2	S. cerevisiae	Mbf and Sbf Associated	1092	YKR077W	S000001785	ORF
SET4	MATCH	1	SET4	S. cerevisiae	SET domain-containing	1683	YJL105W	S000003641	ORF
SET5	MATCH	1	SET5	S. cerevisiae	SET domain-containing	1581	YHR207C	S000001250	ORF
SET2	MATCH	1	SET2	S. cerevisiae	SET domain-containing	2202	YJL168C	S000003704	ORF
SET3	MATCH	1	SET3	S. cerevisiae	SET domain-containing	2256	YKR029C	S000001737	ORF
AIP1	MATCH	1	AIP1	S. cerevisiae	Actin Interacting Protein	1848	YMR092C	S000004698	ORF
BUD9	MATCH	1	BUD9	S. cerevisiae	BUD site selection	1644	YGR041W	S000003273	ORF
BUD8	MATCH	1	BUD8	S. cerevisiae	BUD site selection	1812	YLR353W	S000004345	ORF
PSY3	MATCH	1	PSY3	S. cerevisiae	Platinum SensitivitY	729	YLR376C	S000004368	ORF
FAS1	MATCH	1	FAS1	S. cerevisiae	Fatty Acid Synthetase	6156	YKL182W	S000001665	ORF
YMR1	MATCH	1	YMR1	S. cerevisiae	Yeast Myotubularin Related	2067	YJR110W	S000003871	ORF
IMA5	MATCH	1	IMA5	S. cerevisiae	IsoMAltase	1746	YJL216C	S000003752	ORF
FAS2	MATCH	1	FAS2	S. cerevisiae	Fatty Acid Synthetase	5664	YPL231W	S000006152	ORF
DBF20	MATCH	1	DBF20	S. cerevisiae	DumbBell Forming	1695	YPR111W	S000006315	ORF
BUD5	MATCH	1	BUD5	S. cerevisiae	BUD site selection	1929	YCR038C	S000000634	ORF
BUD4	MATCH	1	BUD4	S. cerevisiae	BUD site selection	4344	YJR092W	S000003852	ORF
BUD3	MATCH	1	BUD3	S. cerevisiae	BUD site selection	4911	YCL014W	S000000520	ORF
BUD2	MATCH	1	BUD2	S. cerevisiae	BUD site selection	3315	YKL092C	S000001575	ORF
PML39	MATCH	1	PML39	S. cerevisiae	Pre-mRNA Leakage	1005	YML107C	S000004575	ORF
IDP1	MATCH	1	IDP1	S. cerevisiae	Isocitrate Dehydrogenase, NADP-specific	1287	YDL066W	S000002224	ORF
SRL3	MATCH	1	SRL3	S. cerevisiae	Suppressor of rad53 Lethality	741	YKR091W	S000001799	ORF
SPH1	MATCH	1	SPH1	S. cerevisiae	SPa2 Homolog	1593	YLR313C	S000004305	ORF
ATG2	MATCH	1	ATG2	S. cerevisiae	AuTophaGy related	4779	YNL242W	S000005186	ORF
RME1	MATCH	1	RME1	S. cerevisiae	Regulator of MEiosis	903	YGR044C	S000003276	ORF
SRL1	MATCH	1	SRL1	S. cerevisiae	Suppressor of Rad53 null Lethality	633	YOR247W	S000005773	ORF
DUR12	MATCH	1	DUR12	S. cerevisiae	Degradation of URea	5508	YBR208C	S000000412	ORF
